"V1","V2","V3","V4","V5","V6","V7","V8"
"20001","5","11","18","28","35","5","6"
"20002","3","8","26","26","33","5","8"
"20003","4","21","25","26","30","4","9"
"20004","23","25","26","30","34","3","7"
"20005","3","9","14","23","32","3","8"
"20006","3","9","21","26","34","5","6"
"20007","9","19","20","22","33","6","9"
"20008","8","18","19","31","32","2","3"
"20009","11","12","31","32","33","5","8"
"20010","7","10","21","21","33","1","10"
"20011","4","6","27","30","31","6","6"
"20012","16","19","25","31","33","1","4"
"20013","2","13","16","25","34","4","8"
"20014","6","15","20","25","34","3","7"
"20015","4","18","18","27","32","3","6"
"20016","7","13","22","31","33","1","11"
"20017","5","13","23","28","30","7","10"
"20018","7","8","16","17","35","6","7"
"20019","6","7","17","24","32","1","7"
"20020","2","16","21","21","33","4","11"
"20021","3","10","23","31","34","3","11"
"20022","9","10","12","23","23","5","7"
"20023","2","10","17","18","25","3","5"
"20024","15","17","17","27","31","5","8"
"20025","4","13","14","21","32","1","8"
"20026","3","6","22","25","28","8","8"
"20027","7","18","20","27","30","4","9"
"20028","5","15","22","26","32","3","9"
"20029","4","6","25","30","33","2","7"
"20030","18","23","24","30","30","1","8"
"20031","3","10","17","26","33","3","7"
"20032","9","17","18","26","28","3","9"
"20033","4","14","20","24","34","3","8"
"20034","4","16","27","27","31","1","2"
"20035","8","11","22","25","33","4","5"
"20036","3","16","21","23","26","4","9"
"20037","8","8","9","23","35","2","7"
"20038","4","14","18","24","34","3","8"
"20039","6","8","11","26","28","4","7"
"20040","3","8","13","19","30","1","7"
"20041","3","5","16","29","31","3","6"
"20042","5","6","13","15","29","1","6"
"20043","3","10","15","24","27","3","10"
"20044","10","11","16","29","34","3","6"
"20045","5","12","20","25","28","4","6"
"20046","4","11","16","33","34","3","5"
"20047","5","8","9","32","33","4","6"
"20048","5","10","10","30","32","5","7"
"20049","4","5","14","22","25","5","6"
"20050","5","6","13","21","24","4","6"
"20051","7","9","11","24","29","4","9"
"20052","6","7","15","26","28","2","8"
"20053","8","14","16","19","23","5","6"
"20054","6","9","17","26","31","3","5"
"20055","13","15","15","29","34","4","7"
"20056","1","5","18","23","33","3","10"
"20057","4","14","20","25","26","4","8"
"20058","9","11","18","27","28","4","8"
"20059","2","12","21","24","28","0","8"
"20060","4","10","13","24","28","4","9"
"20061","8","12","17","26","31","4","11"
"20062","6","15","23","25","32","5","9"
"20063","10","13","16","23","25","3","4"
"20064","4","12","13","16","31","3","8"
"20065","18","21","23","23","23","2","5"
"20066","2","11","14","25","29","2","4"
"20067","3","12","22","25","35","3","6"
"20068","9","14","25","26","28","2","5"
"20069","10","10","12","21","29","3","6"
"20070","7","10","12","30","34","2","7"
"20071","2","11","17","29","31","4","8"
"20072","8","14","15","29","29","4","10"
"20073","3","12","13","28","33","2","8"
"20074","5","9","15","29","29","2","7"
"20075","7","7","11","20","31","6","8"
"20076","9","11","22","23","30","5","9"
"20077","-1","10","14","24","32","3","7"
"20078","4","10","13","19","27","7","10"
"20079","5","6","17","19","29","2","8"
"20080","4","9","15","23","30","6","6"
"20081","10","11","17","23","34","3","4"
"20082","9","12","19","26","28","6","9"
"20083","3","10","25","26","33","2","12"
"20084","13","13","17","26","26","3","9"
"20085","10","14","21","24","31","3","9"
"20086","6","12","20","20","30","3","8"
"20087","10","11","22","29","32","4","6"
"20088","3","8","15","22","35","3","6"
"20089","12","13","17","27","34","6","9"
"20090","10","11","19","20","29","3","8"
"20091","3","6","24","26","33","3","7"
"20092","9","15","17","27","33","4","7"
"20093","6","7","20","22","27","4","8"
"20094","8","9","15","24","31","4","9"
"20095","5","17","21","26","31","4","6"
"20096","9","10","19","27","33","4","5"
